Label	Year	Author	Plant (English)	Plant (Latin)	Plant / Leaf / Fruit	Task	Annotation	Number of Images	Paper-URL	Dataset-URL
MaizeWeedDataset [Ol22]	2022	Olaniyi et al.	Crops: Maize; Weeds: Various;	Crops: Zea mays; Weeds: various;	Whole plant	Weed Detection, Plant Identification, Weed Identification	Bounding Boxes	500	https://data.mendeley.com/datasets/jjbfcckrsp/1	https://data.mendeley.com/datasets/jjbfcckrsp/1
MFWD [Ge24]	2024	Genze et al.	Crops: Maize, Sorghum; Weeds: Various;	Crops: Sorghum bicolor, Zea mays;	Whole plant	Weed Detection	Image Classes, Bounding Boxes, Segmentation Masks	94.321	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10805845/	https://github.com/grimmlab/MFWD
NarrabriChickpea [We24f]	2021	Coleman, Guy	Crops: Chickpeas; Weeds: Asteraceae, Brassicaceae, Rigid Ryegrass, Non-grass species, Grasses;	Crops: Cicer arietinum; Weeds: Asteraceae, Brassicaceae, Lolium Rigidum, Non-Poaceae, Poaceae;	Whole plant	Weed Detection	Bounding Boxes	31	https://weed-ai.sydney.edu.au/datasets/839a5f35-9c7b-4df3-92f4-d0fc15120920	https://weed-ai.sydney.edu.au/datasets/839a5f35-9c7b-4df3-92f4-d0fc15120920
NarrabriWheat [We24a]	2021	Coleman, Guy	Crops: Wheat; Weeds: Annual Ryegrass, Turnipweed, Common Sowthistle;	Crops: Triticum aestivum; Weeds: Lolium rigidum, Rapistrum rugosum, Sonchus oleraceu;	Whole plant	Weed Detection	Bounding Boxes	184	https://weed-ai.sydney.edu.au/datasets/dc322d80-be00-49cf-822c-9e9b40e37425	https://weed-ai.sydney.edu.au/datasets/dc322d80-be00-49cf-822c-9e9b40e37425
NorthernWAWheatbeltBlueLupins [We24g]	2021	Quinlan et al.	Crops: Lupins; Weeds: Sandplain lupin;	Crops: Lupinus spp.; Weeds: Lupinus cosentinii;	Whole plant	Weed Detection	Bounding Boxes	217	https://weed-ai.sydney.edu.au/datasets/9df290f4-a29b-44b2-9de6-24bca1cee846	https://weed-ai.sydney.edu.au/datasets/9df290f4-a29b-44b2-9de6-24bca1cee846
OpenWeedPhenotype [Ma20]	2020	Leminen Madsen et al.	Weeds: Blackgrass, Scarlet pimpernel, Fat-hen, Common chickweed, Various;	Weeds: Alopecurus myosuroides, Anagallis arvensis, Chenopodium album, Stellaria media;	Leaf	Weed Detection, Weed Identification	Bounding Boxes, Image Classes	7.590	https://www.mdpi.com/2072-4292/12/8/1246	https://vision.eng.au.dk/open-plant-phenotyping-database/
PaddyDoctor [Pe23]	2023	Petchiammal et al.	Crops: Rice;	Crops: Oryza sativa;	Leaf	Disease Classification	Image Classes	10.407	http://arxiv.org/abs/2205.11108	https://www.kaggle.com/competitions/paddy-disease-classification/data
PalmerAmaranthGrowth [We24m]	2023	Coleman et al.	Crops: Cotton; Weeds: Palmer amaranth;	Crops: Gossypium spp.; Weeds: Amaranthus palmeri;	Whole plant	Weed Detection	Bounding Boxes	614	https://weed-ai.sydney.edu.au/datasets/5c78d067-8750-4803-9cbe-57df8fae55e4	https://weed-ai.sydney.edu.au/datasets/5c78d067-8750-4803-9cbe-57df8fae55e4
PhenoBench [We24]	2024	Weyler et al.	Crops: Sugar beet; Weeds: Various;	Crops: Beta vulgaris; Weeds: Chenopodium album, Polygonum aviculare;	Leaf, Whole plant	Plant Identification, Weed Detection	Segmentation Masks	2.179	https://ieeexplore.ieee.org/abstract/document/10572312	https://www.phenobench.org/dataset.html
PlantSeedlingClassification [Gi17]	2017	Giselsson et al.	Crops: Maize, Common wheat, Sugar beet; Weeds: Various;	Crops: Zea mays, Triticum aestivum, Beta vulgaris; Weeds: Various;	Seedlings	Seedling Classification	Image Classes	na	https://arxiv.org/abs/1711.05458v1	https://vision.eng.au.dk/plant-seedlings-dataset/
PumkinDiseases [RBH24]	2024	Rashid, Mohammad Rifat Ahmmad; Biswas, Joy; Hossain, Md Miskat	Crops: Pumpkin;	Crops: Cucurbita;	Leaf	Disease Identification	Image Classes	2.000	https://data.mendeley.com/datasets/wtxcw8wpxb/1	https://data.mendeley.com/datasets/wtxcw8wpxb/1
RadishWheatDataset [We24j]	2022	Rayner, Gilbert	Crops: Wheat; Weeds: Wild radish;	Crops: Triticum aestivum; Weeds: Raphanus raphanistrum;	Whole plant	Weed Detection	Bounding Boxes	552	https://weed-ai.sydney.edu.au/datasets/8b8f134f-ede4-4792-b1f7-d38fc05d8127	https://weed-ai.sydney.edu.au/datasets/8b8f134f-ede4-4792-b1f7-d38fc05d8127
RiceLeafDiseases [An23]	2023	Antony, Lourdu; Prasanth, Leo	Crops: Rice;	Crops: Oryza sativa;	Leaf	Disease Detection	Image Classes	4.684	https://data.mendeley.com/datasets/dwtn3c6w6p/1	https://data.mendeley.com/datasets/dwtn3c6w6p/1
RicePanicles [Ra23b]	2023	Rashid et al.	Crops: Rice;	Crops: Oryza sativa;	Panicle, Fruit	Panicle Detection	Bounding Boxes	2.193	https://www.sciencedirect.com/science/article/pii/S2352340923008399#fig0001	https://data.mendeley.com/datasets/ndb6t28xbk/4
RoboWeedMap [TJG22]	2022	Teimouri, Nima; Jørgensen, Rasmus Nyholm; Green, Ole;	Crops: Barley; Weeds: Grasses, Mustard family;	Crops: Hordeum vulgare; Weeds: Poaceae, Brassicaceae;	Whole plant	Weed Detection	Bounding Boxes	1.147	https://www.mdpi.com/2073-4395/12/5/1167	https://weed-ai.sydney.edu.au/datasets/aa0cb351-9b5a-400f-bb2e-ed02b2da3699
RumexLeaves [GAN23]	2023	Güldenring, Ronja; Andersen, Rasmus Eckholdt; Nalpantidis, Lazaros	Weeds: Broad-leaved dock;	Weeds: Rumex obtusifolius;	Leaf	Plant Detection, Leaf Strcture Analysis	Segmentation Mask, Bounding Boxes, Other (Polyline)	809	https://arxiv.org/abs/2312.08805v1	https://dtu-pas.github.io/RumexLeaves/
RyegrassSeedlings [We24l]	2022	Leon, Lorenzo	Crops: None (Fallow); Weeds: Ryegrass;	Crops: None (Fallow); Weeds: Lolium Perenne;	Whole plant	Weed Detection	Bounding Boxes	14	https://weed-ai.sydney.edu.au/datasets/c828f20d-9b3b-451a-b1a3-eb35398760da	https://weed-ai.sydney.edu.au/datasets/c828f20d-9b3b-451a-b1a3-eb35398760da
SorghumAphids [Ra24]	2024	Rahman et al.	Crops: Sorghum; Insects: Aphids;	Crops: Sorghum bicolor;	Leaf	Pest Detection	Segmentation Masks	54.742	https://arxiv.org/abs/2405.04305v1	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/N3YJXG
SoybeanNet [Li24]	2024	Li et al.	Crops: Soybean;	Crops: Glycine max;	Panicle, Fruit	Bean Counting	Segmentation Masks, Other (Points)	196	https://www.sciencedirect.com/science/article/pii/S0168169924002527	https://www.kaggle.com/datasets/jiajiali/uav-based-soybean-pod-images/data
SoyNet [Ra23a]	2023	Rajput et al.	Crops: Soybean;	Crops: Glycine max;	Leaf	Disease Detection	Image Classes	4500+	https://www.sciencedirect.com/science/article/pii/S2352340923005474	https://data.mendeley.com/datasets/w2r855hpx8/1
SugarcanePlantCounting [UJ24]	2024	Ubaid, Muhammad Talha; Javaid, Sameena	Crops: Sugarcane;	Crops: Saccharum officinarum;	Cane, Fruit	Plant Counting	Bounding Boxes	3.730	https://www.mdpi.com/2313-433X/10/5/102	https://data.mendeley.com/datasets/m5zxyznvgz/1 , https://data.mendeley.com/datasets/ydr8vgg64w/1 
TobaccoAerialDataset [Mo23]	2023	Moazzam, Imran	Crops: Tobacco; Weeds: Various;	Crops: Nicotiana tabacum; Weeds: Various;	Whole plant	Weed Detection	Semantic Masks	1.870	https://data.mendeley.com/datasets/5dpc5gbgpz/2	https://data.mendeley.com/datasets/5dpc5gbgpz/1
WE3DS [Ki23]	2023	Kitzler et al.	Crops: Broad bean, Pea, Corn, Soybean, Sunflower, Sugar beet; Weeds: Corn spurry, Red-root amaranth, Common buckwheat, Red fingergrass, Common wild oat, Cornflower, Milk thistle, Rye brome, Narrow-leaved plantain, Small-flower geranium;	Crops: Vicia faba, Pisum sativum, Zea mays, Glycine max, Helianthus annuus, Beta vulgaris; Weeds: Spergula arvensis, Amaranthus retroflexus, Fagopyrum esculentum, Digitaria sanguinalis, Avena fatua, Centaurea cyanus, Silybum marianum, Bromus secalinus, Plantago lanceolata, Geranium pusillum;	Leaf, Whole plant	Weed Detection, Weed Identification, Crop Identification	Semantic Masks	2.568	https://www.mendeley.com/catalogue/6873cb53-b2e2-34e7-8b49-5d36b1c51fbe/	https://zenodo.org/records/7457983
WeedGrowthState [Te18]	2018	Teimouri et al.	Weeds: Knotgrass, Blackgrass, Fat-hen, Various;	Weeds: Alopecurus myosuroides, Chenopodium album, Polygonum spp., Various;	Leaf	Weed Growth Estimation, Leaf Counting	Image Classes	12.165	https://www.mdpi.com/1424-8220/18/5/1580	https://vision.eng.au.dk/leaf-counting-dataset/
WildCarrotFlowersInCanola [We24h]	2021	Leon, Lorenzo	Crops: Canola; Weeds: Wild carrot;	Crops: Brassica napus; Weeds: Daucus carota;	Whole plant	Weed Detection	Bounding Boxes	52	https://weed-ai.sydney.edu.au/datasets/c4a80379-afda-4972-b274-82a544addd0d	https://weed-ai.sydney.edu.au/datasets/c4a80379-afda-4972-b274-82a544addd0d
WildRadishInWheat [We24i]	2021	Coleman, Guy	Crops: Wheat; Weeds: Wild radish;	Crops: Triticum aestivum; Weeds: Raphanus raphanistrum;	Whole plant	Weed Detection	Bounding Boxes	41	https://weed-ai.sydney.edu.au/datasets/09af32ad-2e9e-4f7c-ae08-55374824ee15	https://weed-ai.sydney.edu.au/datasets/09af32ad-2e9e-4f7c-ae08-55374824ee15
YOLOWeeds [Da23]	2023	Dang et al.	Weeds: Waterhemp, Morningglory, Purslane, Spotted Spurge, Carpetweed, Ragweed, Eclipta, Prickly Sida, Palmer Amaranth, Sicklepod, Goosegrass, Cutleaf Groundcherry;	Weeds: Amaranthus tuberculatus, Ipomoea spp., Portulaca oleracea, Euphorbia maculata, Mollugo verticillata, Ambrosia artemisiifolia, Eclipta prostrata, Sida spinosa, Amaranthus palmeri, Senna obtusifolia, Eleusine indica, Physalis angulata;	Leaf	Weed Detection	Bounding Boxes	5.648	https://www.sciencedirect.com/science/article/pii/S0168169923000431	https://zenodo.org/records/7535814 ,  https://weed-ai.sydney.edu.au/datasets/2c14915b-0827-4b65-9908-d2a6df0d48f3 
